Date,PM1,PM2,PM10,NO2,CO,CO2,Humidity,Temp
18-05-2017,54.00,80.00,80.00,0.01,3602.83,20.67,30.94,66.5
19-05-2017,41.00,92.00,102.00,0.02,66.06,54.92,30.94,66.25
20-05-2017,40.00,88.00,106.00,0.02,37.27,13.71,31.41,64.19
21-05-2017,40.00,83.00,96.00,0.02,33.47,6.70,31.66,63.19
22-05-2017,38.00,77.00,87.00,0.03,32.20,4.62,31.91,62.94
23-05-2017,40.00,76.00,84.00,0.03,31.31,3.39,32.13,62.13
24-05-2017,39.00,73.00,88.00,0.03,31.14,2.93,32.25,62.13
25-05-2017,41.00,78.00,92.00,0.03,32.20,2.51,32.41,61.38
